actual,test
16000.0,16336.303156070262
1481265.0,4117053.1346783624
824938.0,3112202.2545580147
3139626.0,2721232.79825875
2474430.0,2972106.5658481712
2074926.0,1973375.9410031957
49851.0,4491744.8474819
7961592.0,8679599.751679055
5671361.0,3992208.651743457
133787.0,71601.59633950685
2355004.0,2354452.809119897
8135946.0,5485394.115569066
2165579.0,5604839.998041745
5388222.0,6294298.1487145275
5350.0,6306.569708760745
52507.0,67373.90450887698
4084080.0,588762.3982820394
10606974.0,9670665.27335466
12740154.0,13067648.157205008
3311280.0,3658139.104402869
2269833.44604317,2231345.0669562146
4504143.0,4604857.662319542
3936412.0,3592987.2382378015
29062866.0,26197504.904903088
7175188.0,6742036.480843056
136416.0,2072388.0794440121
3801386.0,2975293.425905234
10561878.0,12483235.957960062
7755384.0,7830835.000671175
20438237.0,2929460.002401459
26576256.0,4910897.096090221
19914886.0,1632304.4022680905
2053793.0,7003690.773389612
6826.0,9792.138934303406
8256314.0,6216769.053538572
143749.0,2650716.5461421045
21144480.0,18355675.529646013
1384673.0,6289028.51413912
822570.0,507738.988631545
8973678.0,8389462.096178258
3232926.0,3442700.005455874
7866978.0,6964699.5322795
8310466.92,13214893.530893914
7890966.0,8584142.338864645
4851462.0,4312806.388117824
5000.0,80214.7340893069
1479324.0,2978091.151035541
295588.0,4564665.939857317
7504308.0,6910274.252845522
27886320.0,15920150.548675219
1920030.0,2721139.2392303455
11248692.0,11350427.401573297
84042.0,128137.57011578225
5887.0,5862.706598080531
1741782.0,6423727.244866084
6770652.0,6295038.122508918
20314.0,764639.1386863525
118230.0,116368.6265556424
5114298.0,20588085.912833497
629664.0,8694444.319139574
4300.0,1442341.5130426753
1841196.0,1941849.0
8841504.0,4843719.266691419
21905.0,342525.848069442
112085.0,317858.80235261476
3612147.0,4071670.2549435236
16000.0,16000.000000000002
2225103.0,2289339.1176619073
6573709.0,6918465.594879421
121069.0,5912231.2207447225
4759920.0,4524619.435989703
854469.0,854469.0
788088.0,3117070.5296951747
2316930.0,1941141.960179007
1595034.0,3628043.9027569825
1967086.0,4805889.644350454
86134.0,112617.84359655295
11088.0,61144.77322697188
112140.0,117439.07461069584
8025442.0,2063527.2666547103
275184.0,6503978.054309919
